"TYPE","PARENT","STATE","COMPLETED","FOCUS","NAME","TAGS","TIME","ENERGY","WAITINGFOR","STARTDATE","DUEDATE","NOTES",
"Task","AP dashboard","Logbook","2024-8-13","","Create the framework of the page","","","","","","","Tablebuttons - export, addSearch barThe search will influence hte content of the table, so users list needs to be managed at the level above the table",
"Task","AP dashboard","Logbook","2024-8-13","","Check that SR route implementation supports everything we need","","","","","","","",
"Task","AP dashboard","Logbook","2024-8-13","","Create bridge queries","","","","","","","https://www.notion.so/canarytechnologies/Above-Property-User-Management-UI-c7ad27dd1958492d84d5a888d2cd1803?pvs=4#5ad351006caa498d992ecbf2b2f8618e",
"Task","Salesforce ops","Logbook","2024-8-22","","Look at this loom and analyze problem","","15","Low","","","","https://linear.app/canary-technologies/issue/COR-1792/fr-identify-which-hotels-are-in-euus-box",
"Task","SP Core 20240819","Logbook","2024-8-16","","Be sure to prioritize the Salesforce Ops items in SP","","","","","","","",
"Task","AP dashboard","Logbook","2024-8-14","","Create search bar to control filter","","30","High","","","","",
"Task","AP dashboard","Logbook","2024-8-14","","infinite list","","30","High","","","","",
"Task","SP Core 20240819","Logbook","2024-8-16","","Account for the nightly recurring addons wyndham work, and plan tickets","","","","","","","",
"Task","SP Core 20240819","Logbook","2024-8-16","","Work the data feed updates into the next sprint - phone numbers","","","","","","","",
"Task","SP Core 20240819","Logbook","2024-8-16","","Create triage tickets for GDPR extras","","","","","","","",
"Project","Standalone","Logbook","2024-8-16","","SP Core 20240819","planning","","","","","","",
"Task","AP dashboard","Logbook","2024-8-14","","Format table","","30","Medium","","","","",
"Project","Standalone","Logbook","2024-8-21","","AP dash create/edit user","","","","","","","",
"Task","AP dash create/edit user","Logbook","2024-8-14","","Mini ED","planning","30","High","","","","",
"Task","Support eng","Logbook","2024-8-14","","Reach out to Ozzy and Kevin","planning","15","Medium","","","","",
"Project","Standalone","Logbook","2025-3-17","","People","","","","","","","",
"Task","People","Logbook","2024-9-26","","Review sam's contributions last month to get a sense of output level","people","30","Medium","","","","",
"Task","Standalone","Logbook","2024-8-16","","Follow up on Wyndham SSO restrictions","","","","","","","https://linear.app/canary-technologies/issue/COR-1852/wingate-by-wyndham-raleigh-durham-airport",
"Task","SP Core 20240819","Logbook","2024-8-16","","Check for requested core improvements","","","","","","","https://www.notion.so/canarytechnologies/Canary-Admin-Improvements-3ab5605c43064384b0d1e3e3493533f8",
"Task","AP dashboard","Logbook","2024-8-14","","Go through SR PRs adn comment. Inparticular, subclassing user is a bad idea!","","30","High","","","","",
"Task","Standalone","Logbook","2024-8-14","","set up SR 1-1","","","","","","","",
"Task","Standalone","Logbook","2024-8-14","","Set up BA 1-1","","","","","","","",
"Task","Standalone","Logbook","2024-8-20","","checkout onboarding tool","","","","","","","https://www.notion.so/canarytechnologies/19-01-Onboarding-Tool-Rundown-db212b0562c94d77b1a009d9d535c435",
"Task","AP dashboard","Logbook","2024-8-15","","Test this PR from MP to create events","","","","","","","https://github.com/canary-technologies-corp/canarytech_dev/pull/16421",
"Task","AP dash create/edit user","Logbook","2024-8-15","","FActor out user image to shared component","","","","","","","",
"Task","People","Logbook","2024-8-19","","SR feedback - gather and present","","15","Medium","","","","",
"Task","Support eng","Logbook","2024-8-15","","Prepare for KC and OC 1-1s","people","30","Medium","","","","",
"Task","Standalone","Logbook","2024-8-15","","diagnose travel advisers issue adn send to sdm","","","","","","","https://canary-technologies-llc.sentry.io/issues/5713682302/?alert_rule_id=1034735&alert_timestamp=1723669674408&alert_type=email&environment=staging&notification_uuid=bede5ee0-0d6f-46d6-8b33-fafbe874d73e&project=5169331&referrer=alert_emailhttps://canary-technologies-llc.sentry.io/issues/5713682133/?alert_rule_id=1034735&alert_timestamp=1723669316543&alert_type=email&environment=staging&notification_uuid=8b668cd5-2295-4769-9fd6-e675af60668f&project=5169331&referrer=alert_email",
"Task","Standalone","Logbook","2024-8-16","","report list item bridge woes","","","","","","","",
"Task","SP Core 20240819","Logbook","2024-8-16","","Triage queue","","","","","","","",
"Task","AP dash create/edit user","Logbook","2024-8-16","","Transfer tasks for property/role selectin","","","","","","","",
